Categoria_de_premiação,Nome_do_projeto,Escola,Cidade,Estado,Ano
Destaque em Ciências Comportamentais,O desenvolvimento psicossocial de crianças e pré-adolescentes em tempos de pandemia e isolamento social ,Colégio Dante Alighieri, Sao Paulo,São Paulo (SP),2023
Prêmios de Excelência em Geociências,Sun Tracker: um algoritmo de inteligência artificial que prevê eventos do tipo Carrington ,Colégio Ciman, Brasília,Distrito Federal (DF),2023
Prêmio Ricoh de Desenvolvimento Sustentável 2023,NOIVA: um novo objeto de investigação ambiental para o monitoramento cidadão de microplástico na água ,IFPR - Campus Paranaguá, Paranagua,Paraná (PR),2023
Destaque em habilidade e criatividade de biologia in vitro,Avaliação do efeito do biofilme comestível à base de plânctons e/ou diferentes amidos associado ou não à refrigeração na conservação de vegetais in natura e controle alternativo com o uso de extratos vegetais no cultivo in vitro de patógenos – fase IV ,Colégio Estadual Jardim Porto Alegre - Unidade II, Toledo,Paraná (PR),2023
Prêmio Campeão da Ciência,“Ecobags” de papel de palha de coqueiro: uma alternativa sustentável para substituir as sacolas plásticas usadas na feira livre de Umbaúba-SE ,Colégio Estadual Dr. Antônio Garcia Filho, Umbauba,Sergipe (SE),2023
Expositor destaque em STEM,Aproveitamento de coproduto agroindustrial de goiaba (Psidium guajava) na obtenção de filmes poliméricos biodegradáveis ,E.E.M.T.I. Marconi Coelho Reis, Cascavel,Ceará (CE),2023
Prêmio National Geographic - ISTO É GEOGRAFIA!,História em silêncio: entre as lembranças e a construção da identidade do sujeito surdo ,Centro Estadual de Capacitação de Educadores e Atendimento ao Surdo, Mossoró,Rio Grande do Norte (RN),2023
Prêmio Revista InCiência,Uso do hidrogel de fraldas usadas como alternativa de manutenção da umidade do solo ,2º Colégio da Polícia Militar do Paraná, Londrina,Paraná (PR),2023
Prêmio Revista InCiência,Sistema eletrônico de detecção e gerenciamento de incêndios para unidades de conservação ,IFBA - Campus Seabra, Seabra,Bahia (BA),2023
Prêmio Revista InCiência,Avaliação química de sequestro de carbono no cultivo da microalga Raphidocelis subcapitata em sistema fotobiorreator e análise nutricional da biomassa ,Centro Tecnológico Universidade de Caxias do Sul, Caxias Do Sul,Rio Grande do Sul (RS),2023
Prêmio Revista InCiência,Uso do grafeno associado à membrana inorgânica nanoporosa para o tratamento da água ,Fundação Escola Técnica Liberato Salzano Vieira da Cunha, Novo Hamburgo,Rio Grande do Sul (RS),2023
